price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
374.6,388.99,360.0,381.1,38111.954849140006,14936,2015-11-09T23:59:56.0000000Z,2015-11-09T00:00:00.0000000Z,2015-11-09T00:00:00.000000Z,2015-11-10T00:00:00.0000000Z,5558491726.713303
381.1,383.4,327.02,340.18,88482.27467872,23917,2015-11-10T23:59:57.0000000Z,2015-11-10T00:00:46.0000000Z,2015-11-10T00:00:00.000000Z,2015-11-11T00:00:00.0000000Z,5687697840.13396
340.18,343.79,300.28,314.44,117015.50681589998,30078,2015-11-11T23:59:58.0000000Z,2015-11-11T00:00:00.0000000Z,2015-11-11T00:00:00.000000Z,2015-11-12T00:00:00.0000000Z,5091920694.610261
314.45,346.44,314.14,336.84,57235.74520545,19914,2015-11-12T23:59:55.0000000Z,2015-11-12T00:00:04.0000000Z,2015-11-12T00:00:00.000000Z,2015-11-13T00:00:00.0000000Z,4639197820.9604025
336.86,343.75,326.22,338.53,29935.630229709994,12104,2015-11-13T23:59:35.0000000Z,2015-11-13T00:00:01.0000000Z,2015-11-13T00:00:00.000000Z,2015-11-14T00:00:00.0000000Z,5047238679.034298
338.54,340.72,328.5,333.37,20324.62676926,8596,2015-11-14T23:59:49.0000000Z,2015-11-14T00:00:03.0000000Z,2015-11-14T00:00:00.000000Z,2015-11-15T00:00:00.0000000Z,5001151069.384518
333.39,336.6,315.0,320.52,31597.167862849998,11432,2015-11-15T23:59:59.0000000Z,2015-11-15T00:00:14.0000000Z,2015-11-15T00:00:00.000000Z,2015-11-16T00:00:00.0000000Z,4947822869.5485525
320.81,335.0,315.2,332.1,25747.01423645,10763,2015-11-16T23:59:54.0000000Z,2015-11-16T00:01:03.0000000Z,2015-11-16T00:00:00.000000Z,2015-11-17T00:00:00.0000000Z,4765441730.351021
332.05,342.5,331.05,336.29,27167.97701986,10842,2015-11-17T23:59:03.0000000Z,2015-11-17T00:00:03.0000000Z,2015-11-17T00:00:00.000000Z,2015-11-18T00:00:00.0000000Z,4922826393.390672
336.29,338.99,327.91,335.94,15625.538319709998,6614,2015-11-18T23:59:39.0000000Z,2015-11-18T00:02:55.0000000Z,2015-11-18T00:00:00.000000Z,2015-11-19T00:00:00.0000000Z,4989380373.966467
335.82,336.57,324.02,326.5,18932.552860530002,5849,2015-11-19T23:58:37.0000000Z,2015-11-19T00:00:36.0000000Z,2015-11-19T00:00:00.000000Z,2015-11-20T00:00:00.0000000Z,4977215388.943738
326.49,326.77,309.46,322.2,30160.01024754,11748,2015-11-20T23:59:25.0000000Z,2015-11-20T00:00:03.0000000Z,2015-11-20T00:00:00.000000Z,2015-11-21T00:00:00.0000000Z,4852880962.683064
322.29,329.35,318.95,327.84,10478.855716170003,4514,2015-11-21T23:59:51.0000000Z,2015-11-21T00:00:31.0000000Z,2015-11-21T00:00:00.000000Z,2015-11-22T00:00:00.0000000Z,4800665194.885264
327.84,327.85,320.36,324.66,7051.90999034,2911,2015-11-22T23:58:56.0000000Z,2015-11-22T00:00:24.0000000Z,2015-11-22T00:00:00.000000Z,2015-11-23T00:00:00.0000000Z,4863137660.521353
324.67,327.5,320.9,323.63,7775.67515741,3425,2015-11-23T23:58:14.0000000Z,2015-11-23T00:00:03.0000000Z,2015-11-23T00:00:00.000000Z,2015-11-24T00:00:00.0000000Z,4832360379.643522
323.65,323.77,315.55,320.1,9618.010490050005,4759,2015-11-24T23:52:08.0000000Z,2015-11-24T00:00:24.0000000Z,2015-11-24T00:00:00.000000Z,2015-11-25T00:00:00.0000000Z,4805910624.944853
320.49,332.43,316.02,329.85,20518.165699519996,7042,2015-11-25T23:58:40.0000000Z,2015-11-25T00:04:37.0000000Z,2015-11-25T00:00:00.000000Z,2015-11-26T00:00:00.0000000Z,4786025673.611408
329.93,369.9,329.35,354.0,81485.12982238998,22713,2015-11-26T23:59:50.0000000Z,2015-11-26T00:00:15.0000000Z,2015-11-26T00:00:00.000000Z,2015-11-27T00:00:00.0000000Z,4904618263.082682
354.0,367.0,348.18,358.9,34902.85886152,10306,2015-11-27T23:56:03.0000000Z,2015-11-27T00:00:03.0000000Z,2015-11-27T00:00:00.000000Z,2015-11-28T00:00:00.0000000Z,5251082539.872639
359.0,362.44,351.0,358.61,19427.6777884,6992,2015-11-28T23:59:47.0000000Z,2015-11-28T00:00:12.0000000Z,2015-11-28T00:00:00.000000Z,2015-11-29T00:00:00.0000000Z,5336604231.847334
358.51,376.0,355.17,373.89,25779.98951783,8831,2015-11-29T23:59:46.0000000Z,2015-11-29T00:00:01.0000000Z,2015-11-29T00:00:00.000000Z,2015-11-30T00:00:00.0000000Z,5361896228.949661
373.84,384.99,368.11,376.88,47494.937378359995,16673,2015-11-30T23:59:17.0000000Z,2015-11-30T00:00:00.0000000Z,2015-11-30T00:00:00.000000Z,2015-12-01T00:00:00.0000000Z,5527546825.61391
376.89,379.99,353.1,362.59,44093.46871376001,14378,2015-12-01T23:59:59.0000000Z,2015-12-01T00:00:09.0000000Z,2015-12-01T00:00:00.000000Z,2015-12-02T00:00:00.0000000Z,5626131747.106513
362.41,363.22,346.13,359.12,31554.771121479997,11848,2015-12-02T23:59:38.0000000Z,2015-12-02T00:01:12.0000000Z,2015-12-02T00:00:00.000000Z,2015-12-03T00:00:00.0000000Z,5393018803.82505
359.12,371.5,352.25,360.53,27383.79989609,10847,2015-12-03T23:59:44.0000000Z,2015-12-03T00:00:18.0000000Z,2015-12-03T00:00:00.000000Z,2015-12-04T00:00:00.0000000Z,5350323180.373687
